user_id,age,family_size,electricity_bill,water_usage,daily_travel_km,waste_generated,vehicle_type,total_carbon_footprint
33,63,4,1062,536,28.8,29.0,Bike,1067.32
34,49,2,797,384,27.2,17.7,Electric Vehicle,714.18
35,27,2,702,444,94.1,16.1,Car,1176.96
36,67,4,1950,500,46.4,16.2,Public Transport,1753.76
37,59,4,2649,536,6.4,21.0,Bike,2223.54
38,75,6,1830,660,73.3,38.3,Car,1982.2
39,18,1,728,289,36.9,1,Car,830.22
40,18,4,1761,639,38.3,29.1,Public Transport,1579.85
41,42,3,1193,401,91.5,19.8,Car,1565.01
42,39,2,1161,551,33.6,12.6,Car,1170.55
43,43,2,1012,386,26.5,22.7,Bike,1008.53
44,34,5,1608,651,54.4,31.1,Public Transport,1506.12
45,53,1,915,259,10.7,11.8,Public Transport,790.16
46,18,2,1281,510,78.3,30.2,Electric Vehicle,1214.02
47,56,1,1234,325,56.2,14.5,Public Transport,1196.49
48,18,4,1430,551,70.1,16.5,Electric Vehicle,1313.89
49,49,6,2001,721,30.5,39.2,Car,1853.29
50,46,2,1578,459,46.0,10.9,Car,1589.67
51,63,3,1487,441,22.5,26.0,Electric Vehicle,1275.31
52,42,5,2151,608,56.0,18.8,Car,2126.63
53,30,5,1936,777,27.8,11.3,Bike,1769.09
54,39,3,903,434,39.7,20.1,Car,1001.05
55,33,6,2202,617,27.5,25.1,Public Transport,1905.43
56,52,5,2174,759,53.1,22.3,Electric Vehicle,1894.95
57,39,5,2196,620,36.9,20.9,Public Transport,1928.02
58,31,3,1423,247,25.3,20.4,Car,1336.7
59,60,4,1468,472,77.6,19.9,Car,1703.06
60,35,4,1713,543,16.6,33.3,Car,1526.43
61,26,5,2108,765,32.0,26.0,Car,1943.92
62,43,4,1135,622,28.7,28.9,Bike,1126.58
63,40,3,1352,654,82.1,2.5,Car,1627.77
64,18,1,500,406,55.4,1,Car,759.93
65,54,2,1445,280,33.3,13.2,Car,1401.57
66,66,4,1287,483,8.6,17.8,Bike,1118.9
67,43,5,1791,606,43.2,26.4,Public Transport,1618.51
68,39,2,1255,321,54.8,15.6,Public Transport,1209.84
69,25,2,1367,246,5.3,1.5,Public Transport,1138.63
70,65,6,1658,555,64.3,41.6,Car,1786.0
71,46,5,1883,629,42.4,22.6,Public Transport,1689.55
72,50,3,1381,443,36.0,16.1,Public Transport,1254.31
73,66,4,1869,623,11.4,25.7,Bike,1617.87
74,57,4,1357,542,9.5,4.2,Public Transport,1145.31
75,63,4,1928,539,80.3,13.7,Car,2094.24
76,24,4,1587,597,20.1,22.2,Bike,1439.67
77,35,3,1190,297,18.2,16.9,Bike,1099.21
78,37,5,1246,637,42.3,28.5,Public Transport,1169.85
79,59,3,1323,421,66.5,32.0,Car,1520.23
80,60,5,1621,828,41.2,48.1,Car,1613.66
81,32,4,1376,536,84.0,41.9,Car,1679.01
82,68,2,625,351,96.9,3.3,Car,1124.97
83,41,6,1915,672,45.2,30.0,Public Transport,1728.35
84,74,4,1538,595,64.9,18.9,Car,1680.08
85,42,4,1762,488,48.9,11.3,Public Transport,1605.01
86,71,3,1120,702,21.6,20.4,Bike,1065.38
87,19,4,1492,405,81.4,27.1,Car,1750.21
88,50,3,1110,361,48.3,12.2,Car,1220.95
89,44,2,980,303,11.6,14.2,Public Transport,847.54
90,52,1,636,327,75.2,14.3,Car,1002.76
91,63,3,1321,505,6.8,19.1,Bike,1136.12
92,47,2,998,505,21.4,10.6,Car,958.98
93,56,2,1323,286,49.6,14.4,Car,1404.83
94,49,5,1826,664,18.9,18.6,Bike,1626.35
95,53,4,1414,507,18.3,24.1,Electric Vehicle,1206.62
96,24,4,1442,431,52.3,19.9,Public Transport,1357.57
97,57,3,1051,365,95.3,19.9,Car,1472.53
98,54,3,1201,478,13.5,21.5,Bike,1081.1
99,34,3,1404,615,50.9,8.2,Car,1476.66
100,18,4,1241,416,35.0,1.4,Public Transport,1128.99
101,25,1,803,265,9.2,6.4,Bike,719.88
102,25,3,1500,401,45.0,2.1,Electric Vehicle,1316.5
103,38,4,1959,566,18.8,43.6,Public Transport,1687.97
104,65,5,1613,995,34.3,16.5,Car,1547.99
105,69,4,1221,566,22.7,11.5,Electric Vehicle,1050.44
106,34,3,1356,408,87.2,24.3,Car,1673.84
107,33,6,2078,934,59.5,23.6,Car,2091.54
108,48,2,1762,280,56.0,19.5,Electric Vehicle,1560.71
109,30,3,1458,547,66.3,17.2,Car,1622.4
110,34,1,540,156,29.2,12.8,Bike,633.32
111,36,3,1556,566,18.4,39.1,Car,1411.96
112,43,3,1385,517,55.8,7.2,Car,1491.36
113,40,6,2472,690,44.5,42.8,Car,2329.48
114,36,6,1837,670,56.4,49.5,Public Transport,1709.42
115,18,3,1298,542,99.9,10.5,Car,1699.52
116,45,2,983,261,39.0,8.5,Car,1056.27
117,53,6,2053,668,13.9,32.4,Car,1787.9
118,21,4,1375,444,44.7,5.4,Electric Vehicle,1215.13
119,62,4,1138,431,40.8,12.4,Electric Vehicle,1016.9
120,42,3,1046,427,97.2,12.6,Car,1476.81
121,32,5,1604,462,70.2,20.5,Electric Vehicle,1458.67
122,53,3,853,478,18.9,16.0,Bike,827.01
123,75,1,743,193,19.0,16.5,Bike,737.4
124,33,2,500,550,25.6,17.0,Public Transport,499.69
125,56,5,1462,548,2.4,37.6,Bike,1233.31
126,29,4,2311,609,19.0,30.4,Public Transport,1970.68
127,72,4,2017,452,13.3,16.3,Bike,1746.33
128,61,2,808,379,11.5,32.6,Bike,751.69
129,34,4,1297,482,30.7,36.5,Electric Vehicle,1140.29
130,41,3,1733,395,18.2,2.1,Bike,1537.16
131,18,4,1528,714,41.7,12.0,Car,1522.38
132,29,2,619,276,91.3,1,Car,1083.55
133,37,2,682,427,18.1,7.5,Car,677.45
134,68,4,1792,281,92.2,17.1,Car,2059.13
135,50,2,1205,277,77.2,10.1,Car,1479.79
136,51,4,1611,733,98.2,18.7,Car,1949.76
137,71,3,997,592,16.1,4.5,Bike,921.81
138,51,3,998,564,7.0,1,Bike,863.52
139,75,4,1032,456,8.5,33.8,Public Transport,890.37
140,18,3,1640,614,32.1,34.8,Public Transport,1463.93
141,70,5,2167,702,76.9,38.6,Car,2281.41
142,39,3,1176,420,46.7,19.5,Car,1268.7
143,48,3,1126,538,69.9,30.0,Electric Vehicle,1070.97
144,58,1,521,236,3.7,16.0,Bike,458.77
145,54,2,826,257,11.9,14.7,Car,759.9
146,34,5,2225,774,16.9,34.1,Public Transport,1895.56
147,54,3,1736,631,25.8,21.2,Bike,1597.29
148,51,3,1535,447,23.7,15.9,Bike,1416.41
149,46,5,1995,649,57.3,27.2,Car,2011.14
150,27,4,1295,631,13.0,29.1,Electric Vehicle,1101.65
151,51,1,500,285,14.3,1,Electric Vehicle,437.81
152,47,3,1029,492,18.2,15.5,Bike,966.68
153,56,4,1396,446,59.7,12.3,Public Transport,1339.37
154,41,3,1265,401,79.2,1,Car,1537.16
155,43,2,843,401,29.9,8.5,Public Transport,790.1
156,48,2,1247,339,14.7,16.7,Electric Vehicle,1059.01
157,48,3,1753,553,60.1,6.7,Car,1819.99
158,35,3,1484,370,88.1,28.8,Car,1786.68
159,37,1,524,245,29.1,3.2,Car,614.86
160,36,6,2614,585,82.6,44.6,Car,2686.74
161,67,1,922,174,12.4,25.6,Car,847.13
162,32,3,1538,434,5.3,8.6,Public Transport,1282.59
163,58,2,915,412,12.8,13.0,Car,837.85
164,34,2,1182,270,61.1,23.6,Car,1366.24
165,49,4,1878,655,34.5,16.6,Car,1766.26
166,30,2,1135,381,20.6,6.8,Public Transport,999.37
167,37,2,1004,353,38.0,20.6,Public Transport,953.63
168,45,4,1808,536,22.4,31.4,Bike,1639.92
169,51,5,1848,507,82.6,45.7,Car,2059.1
170,58,4,1665,715,61.6,13.7,Car,1760.94
171,41,2,1096,393,49.1,1,Public Transport,1054.28
172,25,4,1587,581,57.2,15.3,Car,1669.93
173,34,4,1506,616,15.3,31.0,Bike,1347.43
174,56,5,1794,593,31.3,9.7,Car,1673.71
175,51,4,1244,438,25.9,24.5,Car,1195.94
176,27,4,1143,324,67.2,28.8,Car,1375.34
177,23,1,630,258,13.3,3.8,Bike,602.55
178,56,5,2073,579,25.0,38.2,Bike,1877.04
179,71,5,2204,510,51.6,12.1,Car,2138.92
180,36,5,1750,673,31.2,13.5,Public Transport,1540.7
181,48,4,2161,669,44.3,16.5,Public Transport,1920.48
182,44,4,1971,427,11.2,27.0,Bike,1700.71
183,41,5,1736,734,68.3,31.4,Car,1870.24
184,47,3,1129,435,71.1,3.2,Electric Vehicle,1062.19
185,35,5,2125,692,58.9,16.5,Electric Vehicle,1862.76
186,57,5,1851,493,70.3,40.5,Car,1981.45
187,56,1,605,187,48.1,1.9,Car,800.27
188,55,4,1838,649,12.6,19.3,Public Transport,1557.15
189,70,5,2364,721,89.5,37.6,Car,2521.85
190,48,4,1491,497,79.4,26.8,Car,1736.74
191,48,3,1064,499,31.4,10.0,Car,1075.8
192,49,3,1022,375,52.2,15.9,Car,1175.23
193,52,2,1868,285,35.4,3.8,Car,1756.97
194,57,6,2133,717,40.3,27.9,Public Transport,1890.67
195,58,2,1513,496,30.0,13.8,Electric Vehicle,1304.76
196,33,4,1555,316,29.8,31.2,Public Transport,1384.89
197,42,4,1984,578,59.7,20.7,Public Transport,1825.86
198,47,6,2008,595,8.6,18.3,Bike,1710.49
199,56,1,1051,419,5.3,14.8,Public Transport,886.33
200,50,4,1324,522,8.6,10.6,Bike,1145.68
201,43,4,1183,625,20.0,33.6,Car,1113.48
202,33,5,1987,622,38.8,32.5,Public Transport,1768.43
203,45,5,1884,583,14.7,15.8,Electric Vehicle,1581.15
204,42,5,1922,532,98.3,34.5,Car,2213.11
205,44,4,1716,450,66.5,24.6,Car,1838.82
206,20,3,1428,284,23.4,11.0,Bike,1324.16
207,22,4,1279,405,23.3,13.3,Bike,1202.62
208,48,4,1704,764,99.0,28.7,Car,2036.09
209,33,3,1354,394,47.9,22.9,Public Transport,1273.01
210,34,5,2152,746,37.1,16.4,Electric Vehicle,1843.7
211,62,3,668,463,82.1,17.8,Car,1074.35
212,38,1,500,215,19.8,4.7,Bike,537.31
213,37,5,1539,688,7.3,33.5,Public Transport,1302.41
214,34,5,1947,861,19.1,23.9,Bike,1729.68
215,27,6,1931,476,18.2,32.1,Bike,1714.61
216,41,6,2463,634,64.5,39.6,Car,2446.44
217,29,1,500,422,57.7,1,Car,774.43
218,57,4,1797,529,35.9,11.4,Public Transport,1592.85
219,44,5,1001,731,55.4,22.3,Public Transport,1007.21
220,45,4,1387,627,20.5,16.0,Bike,1275.12
221,52,2,986,409,90.2,22.2,Car,1388.29
222,25,5,1761,652,6.0,15.0,Bike,1489.97
223,62,6,2626,720,49.2,20.3,Public Transport,2319.17
224,38,5,2083,779,79.2,27.1,Car,2221.35
225,47,3,1773,435,42.4,6.1,Public Transport,1590.9
226,70,4,1229,647,55.1,47.4,Public Transport,1205.69
227,52,4,1752,589,44.0,9.4,Public Transport,1580.53
228,74,6,1894,699,21.3,48.1,Car,1712.02
229,38,5,1767,619,20.8,18.5,Electric Vehicle,1498.12
230,24,1,500,127,1.4,1,Bike,419.45
231,32,2,751,241,40.1,1,Public Transport,742.88
232,45,3,2078,280,36.8,19.4,Car,1945.78
233,49,4,1329,582,38.4,16.6,Public Transport,1219.62
234,67,3,757,512,35.9,17.8,Public Transport,743.24
235,37,5,1925,695,8.7,16.8,Bike,1642.4
236,58,4,2250,587,38.1,30.7,Car,2100.97
237,46,2,698,369,6.3,23.7,Public Transport,604.42
238,38,5,1906,600,89.4,29.7,Car,2141.59
239,35,2,500,335,53.5,9.6,Public Transport,583.66
240,19,2,1276,320,16.6,8.4,Car,1155.42
241,19,3,1182,755,20.7,26.1,Car,1113.45
242,42,4,1387,695,15.3,16.1,Bike,1242.47
243,40,3,1525,528,51.1,7.8,Car,1576.86
244,33,3,1714,619,36.9,43.0,Car,1660.07
245,30,6,1788,668,49.9,21.6,Public Transport,1634.81
246,61,5,1899,666,12.4,12.9,Car,1642.42
247,18,4,1756,370,74.9,15.9,Car,1920.11
248,40,2,747,410,12.8,7.5,Car,697.34
249,51,3,1608,470,20.7,3.2,Bike,1451.04
250,58,6,1958,696,6.2,29.6,Bike,1660.12
251,34,5,1692,606,27.4,21.8,Bike,1571.57
252,56,4,1175,444,27.3,11.0,Car,1141.43
253,45,5,2076,885,20.9,31.6,Public Transport,1784.84
254,67,3,1603,622,11.7,11.4,Public Transport,1357.64
255,38,2,1599,357,66.3,10.1,Electric Vehicle,1441.89
256,56,3,1080,388,28.2,20.8,Car,1074.05
257,18,3,1295,408,62.8,16.9,Car,1466.4
258,67,1,667,397,19.0,11.9,Car,672.99
259,45,3,694,388,56.4,25.7,Public Transport,759.98
260,33,5,2684,557,16.3,39.9,Electric Vehicle,2252.19
261,28,3,1231,228,22.3,21.2,Electric Vehicle,1062.39
262,38,8,2352,766,77.3,49.2,Electric Vehicle,2100.1
263,72,2,1438,387,29.5,7.4,Bike,1369.1
264,75,2,955,560,27.4,6.7,Car,959.63
265,51,4,1426,559,22.1,26.1,Bike,1322.16
266,26,4,1463,671,56.4,4.8,Car,1558.05
267,64,5,2015,670,18.6,28.0,Public Transport,1725.56
268,55,4,905,488,19.6,38.2,Bike,885.17
269,43,3,1539,517,32.6,29.7,Public Transport,1380.04
270,30,3,1489,532,29.7,12.5,Car,1414.87
271,50,4,1644,403,35.2,10.5,Public Transport,1464.61
272,48,3,1169,462,15.7,34.4,Electric Vehicle,1005.91
273,22,4,1991,600,16.4,8.3,Bike,1740.69
274,44,4,1866,490,37.1,21.8,Public Transport,1658.38
275,60,4,1768,437,51.1,33.7,Car,1788.98
276,50,4,1199,393,62.0,33.9,Car,1391.12
277,58,4,2535,665,14.8,25.5,Electric Vehicle,2120.09
278,43,1,1028,327,47.8,1,Car,1144.93
279,59,3,1796,300,42.6,11.6,Public Transport,1613.01
280,29,3,1122,513,75.5,27.9,Car,1410.15
281,45,4,1899,551,59.0,4.3,Car,1931.58
282,39,4,1926,502,20.2,45.4,Car,1729.78
283,50,2,1112,173,6.2,14.9,Bike,958.52
284,47,2,780,536,17.9,17.5,Public Transport,705.27
285,51,6,2583,741,49.9,31.8,Public Transport,2291.89
286,31,2,791,343,19.8,19.5,Bike,783.45
287,47,5,2627,711,73.8,20.2,Electric Vehicle,2304.43
288,33,1,772,439,38.7,1.5,Car,878.04
289,37,4,1291,657,86.4,17.2,Car,1612.2
290,67,5,1324,377,22.1,18.6,Car,1234.59
291,45,5,1540,439,18.3,26.5,Car,1391.78
292,35,3,1795,297,22.9,4.7,Bike,1618.82
293,41,2,500,406,57.6,35.7,Public Transport,609.7
294,48,4,1614,654,38.2,22.6,Public Transport,1455.76
295,54,7,2058,724,34.4,33.0,Public Transport,1813.14
296,54,2,1021,609,85.6,29.3,Car,1391.76
297,57,3,1019,526,13.0,16.5,Public Transport,885.31
298,75,2,901,431,50.8,21.3,Public Transport,909.92
299,23,4,1557,469,97.0,14.1,Car,1895.36
300,31,5,2415,697,92.5,40.8,Car,2584.15
301,24,3,1423,469,95.1,8.1,Car,1770.51
302,22,1,1051,318,15.2,21.9,Bike,968.85
303,30,5,1742,500,53.9,39.4,Car,1788.21
304,45,5,1977,577,24.4,54.7,Bike,1802.79
305,32,1,870,274,4.5,11.2,Bike,747.62
306,62,4,1432,462,36.1,29.2,Public Transport,1303.02
307,55,3,1115,282,87.2,18.3,Car,1473.09
308,38,2,1311,392,15.0,12.6,Bike,1176.21
309,20,5,1407,540,15.8,32.9,Bike,1270.27
310,47,6,1787,669,27.8,33.1,Bike,1657.7
311,60,2,1724,427,57.9,1,Public Transport,1596.99
312,31,3,1055,512,50.9,19.6,Public Transport,1035.75
313,20,6,2002,846,29.7,29.3,Bike,1844.25
314,27,4,1633,363,47.3,29.0,Public Transport,1502.92
315,59,3,1360,435,59.6,8.8,Public Transport,1307.78
316,45,5,1834,557,18.6,14.2,Bike,1628.72
317,52,1,901,328,67.1,7.3,Car,1165.53
318,31,4,1669,506,12.3,30.6,Public Transport,1423.13
319,51,5,1660,585,10.6,39.1,Bike,1448.11
320,56,3,1614,434,27.0,27.6,Bike,1507.81
321,75,1,585,273,12.6,5.3,Public Transport,522.31
322,61,5,2074,518,7.6,33.8,Bike,1765.98
323,45,6,2085,663,9.1,41.0,Bike,1788.19
324,40,2,678,336,87.4,20.2,Car,1117.02
325,53,3,1037,679,22.3,43.6,Public Transport,943.06
326,36,3,1796,329,25.7,17.8,Public Transport,1562.9
327,51,2,1341,464,59.1,7.5,Car,1476.16
328,27,5,1852,592,43.1,16.2,Public Transport,1663.1
329,56,1,500,363,31.8,1,Car,611.2
330,25,4,1535,654,32.9,20.8,Public Transport,1373.39
331,65,2,539,332,54.3,1,Public Transport,613.86
332,40,6,2511,648,14.0,24.4,Car,2160.07
333,67,3,945,558,40.1,26.3,Electric Vehicle,864.4
334,45,2,1025,265,26.5,6.2,Public Transport,927.34
335,47,2,774,379,3.1,1,Bike,655.09
336,64,6,2725,754,28.6,40.2,Car,2435.53
337,28,4,1221,598,21.5,23.5,Public Transport,1081.29
338,38,5,1597,593,27.1,21.8,Electric Vehicle,1372.25
339,49,4,946,447,27.3,28.4,Public Transport,876.36
340,64,3,1380,410,45.0,14.1,Car,1422.56
341,42,3,1357,278,3.1,21.8,Bike,1143.45
342,38,3,1644,444,67.5,37.0,Car,1792.27
343,28,2,813,331,65.6,17.8,Car,1089.17
344,23,3,1745,506,9.2,19.1,Bike,1498.92
345,54,6,1938,692,11.5,38.5,Bike,1681.55
346,64,3,945,587,22.6,18.4,Car,927.07
347,38,5,2217,651,4.1,37.4,Bike,1863.12
348,18,2,1038,338,54.0,1.6,Car,1192.5
349,48,4,1667,457,34.6,28.1,Public Transport,1490.44
350,59,3,839,413,23.3,16.7,Bike,843.53
351,51,2,1088,353,59.2,17.4,Car,1274.17
352,44,5,1511,507,24.2,63.9,Public Transport,1347.71
353,51,2,1568,373,49.6,4.9,Public Transport,1444.82
354,37,3,938,487,16.4,21.8,Public Transport,832.21
355,57,4,1577,662,43.7,21.2,Public Transport,1442.06
356,56,6,1570,680,65.0,29.0,Electric Vehicle,1425.43
357,75,1,854,261,27.5,4.5,Electric Vehicle,754.77
358,18,4,1200,409,27.8,22.0,Public Transport,1082.98
359,24,4,1746,509,35.0,30.3,Car,1667.88
360,39,5,1867,792,75.8,27.5,Car,2023.02
361,23,4,1581,568,29.6,15.2,Car,1491.07
362,49,3,1909,391,53.7,28.9,Car,1918.53
363,32,5,2081,633,51.4,40.9,Car,2051.32
364,65,3,1353,524,21.9,16.7,Car,1256.3
365,39,3,1568,427,32.5,2.2,Car,1492.04
366,68,4,1909,487,41.1,38.2,Public Transport,1714.43
367,44,3,1191,467,42.4,32.8,Public Transport,1127.05
368,46,5,1134,572,11.5,30.0,Bike,1017.9
369,44,3,1110,650,23.2,17.6,Bike,1065.81
370,36,4,1642,527,49.6,21.8,Car,1670.35
371,41,1,929,383,87.4,11.2,Car,1318.38
372,48,4,1249,348,12.7,39.8,Public Transport,1084.43
373,43,4,1266,495,80.1,15.3,Car,1550.89
374,18,3,1136,341,36.6,14.8,Car,1169.84
375,75,5,2286,587,15.0,18.8,Bike,1979.01
376,34,8,2726,908,49.8,39.8,Electric Vehicle,2350.25
377,29,5,2009,372,11.5,33.8,Car,1737.1
378,49,4,1676,569,55.1,11.2,Car,1727.62
379,24,5,2273,681,35.0,22.1,Car,2096.09
380,61,4,2171,443,85.1,21.0,Car,2327.29
381,42,3,1196,306,15.2,26.5,Car,1090.04
382,53,2,1168,320,20.7,28.2,Car,1102.59
383,38,1,1132,511,80.5,6.0,Car,1438.9
384,36,5,2324,595,12.6,47.8,Car,2009.56
385,49,2,1485,441,16.9,3.6,Car,1326.41
386,48,2,1050,328,17.2,18.3,Bike,978.84
387,43,2,960,378,27.1,2.7,Electric Vehicle,840.15
388,47,6,2811,779,61.8,22.7,Electric Vehicle,2433.95
389,33,4,1235,620,9.3,13.7,Public Transport,1049.46
390,57,4,1541,634,14.8,1,Electric Vehicle,1292.73
391,33,4,1799,466,10.7,25.8,Car,1555.96
392,63,3,1745,329,79.5,21.4,Car,1942.78
393,55,7,2564,705,12.3,39.0,Bike,2200.18
394,58,5,1430,625,86.4,28.0,Car,1731.55
395,43,3,1132,446,15.4,33.2,Car,1042.31
396,44,6,2623,796,43.5,25.2,Car,2438.31
397,51,3,1482,490,16.7,8.1,Car,1324.99
398,38,5,1900,613,73.1,35.8,Car,2037.04
399,43,2,1033,419,47.9,7.4,Public Transport,1002.06
400,40,4,1938,436,24.5,29.1,Electric Vehicle,1650.45
401,40,5,2078,660,84.4,26.3,Car,2249.49
402,40,4,1420,603,33.2,26.3,Public Transport,1282.73
403,39,2,1125,378,29.9,12.1,Public Transport,1023.11
404,33,1,877,309,98.4,8.1,Car,1343.42
405,64,6,1955,801,62.4,32.4,Car,2013.22
406,72,4,1664,628,27.2,17.6,Bike,1545.27
407,51,2,1371,409,17.2,17.2,Bike,1241.59
408,31,6,2333,732,8.4,38.0,Bike,1985.71
409,47,3,1184,408,27.7,14.2,Public Transport,1065.64
410,43,3,1510,524,66.8,37.1,Car,1678.11
411,53,1,1272,288,34.9,1,Public Transport,1153.76
412,48,2,1045,417,54.3,20.6,Public Transport,1038.66
413,45,3,1717,453,100.0,22.0,Car,2049.39
414,43,3,1153,550,29.9,1,Bike,1134.88
415,50,6,2332,610,86.1,38.8,Car,2474.68
416,62,4,1214,560,95.3,22.1,Car,1607.48
417,27,3,1687,735,44.5,12.4,Electric Vehicle,1474.38
418,61,4,1767,563,27.5,35.3,Bike,1640.4
419,47,4,1511,320,39.1,35.8,Car,1503.57
420,47,6,1992,813,36.2,16.3,Electric Vehicle,1710.82
421,59,3,1554,510,4.7,35.0,Bike,1321.9
422,36,6,2143,820,93.6,55.4,Car,2375.46
423,47,2,892,347,42.9,23.9,Public Transport,878.87
424,62,7,2318,530,12.3,58.6,Electric Vehicle,1953.84
425,18,1,957,285,94.3,16.6,Car,1387.41
426,64,4,2500,642,21.3,41.6,Bike,2205.63
427,24,1,527,325,8.7,6.3,Public Transport,463.02
428,52,5,1952,591,44.5,1.6,Electric Vehicle,1686.14
429,31,5,2225,687,55.6,24.5,Electric Vehicle,1942.52
430,36,6,2509,675,15.2,40.5,Electric Vehicle,2107.03
431,52,5,1907,494,16.5,16.4,Electric Vehicle,1603.62
432,33,3,1358,516,21.0,14.8,Electric Vehicle,1161.17
433,53,4,1820,683,75.7,22.1,Car,1981.04
434,57,4,1745,367,10.8,14.8,Bike,1506.71
435,33,4,1436,424,0.8,25.9,Bike,1195.93
436,55,6,2534,663,69.5,42.4,Car,2537.59
437,60,5,2198,811,29.5,27.3,Public Transport,1909.75
438,61,4,1884,694,17.7,29.6,Car,1671.88
439,34,5,2343,595,85.7,31.3,Car,2477.41
440,30,1,616,100,17.1,10.0,Car,617.95
441,64,2,500,377,71.0,9.8,Car,862.58
442,39,4,1465,806,21.4,19.6,Car,1346.73
443,18,6,1302,835,85.1,30.1,Car,1619.65
444,75,4,1592,463,20.2,30.5,Public Transport,1384.78
445,18,4,1745,403,47.8,16.3,Car,1740.59
446,49,1,500,511,19.1,1,Car,531.34
447,40,5,1778,705,31.7,25.1,Public Transport,1571.07
448,42,3,1515,340,26.7,7.6,Bike,1414.65
449,39,4,1631,314,11.4,25.7,Electric Vehicle,1372.13
450,33,3,1692,444,19.4,12.6,Electric Vehicle,1430.85
451,61,3,1459,389,40.5,20.9,Public Transport,1334.79
452,54,5,1509,631,56.4,7.9,Car,1597.28
453,52,5,1788,617,71.6,34.3,Electric Vehicle,1619.25
454,46,5,1454,620,59.3,38.6,Electric Vehicle,1324.28
455,40,6,1824,695,0.9,22.9,Bike,1513.49
456,59,5,2494,540,26.8,23.4,Bike,2226.16
457,44,1,685,396,17.2,26.7,Bike,683.81
458,38,2,689,367,23.4,22.3,Bike,723.92
459,45,3,1717,383,10.8,17.2,Car,1484.96
460,72,2,1786,314,24.2,5.6,Public Transport,1543.86
461,44,5,1702,452,10.6,12.8,Public Transport,1435.88
462,43,4,1408,457,10.9,11.4,Public Transport,1195.05
463,75,5,1571,466,44.1,35.6,Public Transport,1445.4
464,37,5,2363,766,64.0,16.4,Car,2349.83
465,32,2,971,236,28.2,3.2,Electric Vehicle,851.35
466,52,6,2353,641,30.0,30.0,Car,2134.1
467,19,3,1722,377,86.1,27.2,Car,1968.45
468,19,4,1773,593,78.7,26.8,Car,1963.66
469,54,6,2183,737,45.9,26.8,Public Transport,1948.78
470,69,3,1553,406,88.0,37.5,Car,1847.02
471,18,2,1617,470,88.1,5.0,Car,1883.94
472,53,6,2446,743,36.3,38.0,Public Transport,2139.81
473,58,3,1157,604,53.9,13.9,Car,1295.86
474,38,3,1328,435,22.9,33.9,Bike,1250.62
475,19,4,2002,612,46.3,30.8,Car,1949.34
476,41,4,1696,528,50.8,23.5,Public Transport,1563.02
477,53,6,2091,645,41.0,39.7,Car,1993.41
478,55,3,1254,497,45.0,10.5,Public Transport,1175.78
479,33,3,2101,247,54.6,12.8,Public Transport,1901.46
480,52,7,2334,720,21.8,42.0,Car,2072.94
481,43,2,1189,463,13.4,17.9,Car,1068.81
482,36,3,1329,607,11.8,16.6,Car,1173.03
483,39,2,774,466,23.8,7.4,Car,788.79
484,25,3,1769,418,22.3,9.7,Car,1596.34
485,48,3,1320,410,3.2,19.8,Bike,1112.87
486,54,3,1713,506,7.2,32.8,Public Transport,1444.25
487,34,4,1895,503,20.1,37.8,Bike,1699.93
488,29,3,1201,561,19.1,23.1,Car,1117.26
489,44,5,2200,614,19.0,28.7,Car,1938.66
490,48,3,1872,397,22.7,32.8,Bike,1694.85
491,73,4,1554,487,29.1,9.1,Public Transport,1370.98
